locus_id,point_index,t_normalized,r1,r2,predicted_FOM,group_velocity
1,1,0.0000,0.390723,0.280019,6.177991e+01,0.292403
1,2,0.0526,0.384362,0.256740,4.556392e+01,0.199789
1,3,0.1053,0.372580,0.237658,4.220673e+01,0.149966
1,4,0.1579,0.356521,0.222779,7.479601e+01,0.135758
1,5,0.2105,0.337330,0.212114,8.661580e+01,0.138593
1,6,0.2632,0.316149,0.205669,5.457377e+01,0.147854
1,7,0.3158,0.294123,0.203455,6.516323e+01,0.158644
1,8,0.3684,0.272397,0.205479,8.830185e+01,0.168341
1,9,0.4211,0.252113,0.211751,1.272687e+02,0.175557
1,10,0.4737,0.234415,0.222278,1.276680e+02,0.179352
1,11,0.5263,0.220425,0.237046,1.500015e+02,0.178983
1,12,0.5789,0.210713,0.255452,1.126154e+02,0.174535
1,13,0.6316,0.205284,0.276294,1.013973e+02,0.166737
1,14,0.6842,0.204117,0.298342,1.846958e+02,0.156571
1,15,0.7368,0.207191,0.320367,8.327123e+01,0.145726
1,16,0.7895,0.214487,0.341140,6.570731e+01,0.137318
1,17,0.8421,0.225985,0.359430,8.591155e+01,0.137341
1,18,0.8947,0.241663,0.374009,1.199946e+02,0.158413
1,19,0.9474,0.261501,0.383646,7.310961e+01,0.216697
1,20,1.0000,0.285478,0.387113,7.252408e+01,0.307658
