locus_id,point_index,t_normalized,r1,r2,r1_initial,r2_initial,predicted_FOM,residual_gap,group_velocity
1,1,0.0000,0.390521,0.280074,0.390723,0.280019,6.177991e+01,6.985567e-06,0.292659
1,2,0.0526,0.384142,0.256835,0.384362,0.256740,4.556392e+01,4.417192e-06,0.200371
1,3,0.1053,0.373103,0.237229,0.372580,0.237658,4.220673e+01,1.571787e-06,0.148474
1,4,0.1579,0.357235,0.221794,0.356521,0.222779,7.479601e+01,6.765499e-06,0.134725
1,5,0.2105,0.337924,0.210711,0.337330,0.212114,8.661580e+01,3.629962e-06,0.138547
1,6,0.2632,0.316484,0.203996,0.316149,0.205669,5.457377e+01,3.858389e-06,0.147866
1,7,0.3158,0.294131,0.201725,0.294123,0.203455,6.516323e+01,2.024900e-06,0.158553
1,8,0.3684,0.272077,0.203859,0.272397,0.205479,8.830185e+01,4.194798e-06,0.168305
1,9,0.4211,0.251515,0.210399,0.252113,0.211751,1.272687e+02,2.144995e-06,0.175720
1,10,0.4737,0.233612,0.221272,0.234415,0.222278,1.276680e+02,2.167672e-06,0.179671
1,11,0.5263,0.219263,0.236215,0.220425,0.237046,1.500015e+02,2.165794e-06,0.179316
1,12,0.5789,0.209022,0.254799,0.210713,0.255452,1.126154e+02,0.000000e+00,0.174691
1,13,0.6316,0.203156,0.275966,0.205284,0.276294,1.013973e+02,4.172351e-06,0.166688
1,14,0.6842,0.201809,0.298442,0.204117,0.298342,1.846958e+02,2.008256e-06,0.156505
1,15,0.7368,0.204954,0.320909,0.207191,0.320367,8.327123e+01,3.815134e-06,0.145768
1,16,0.7895,0.212562,0.342066,0.214487,0.341140,6.570731e+01,3.580578e-06,0.137104
1,17,0.8421,0.224469,0.360683,0.225985,0.359430,8.591155e+01,8.335063e-06,0.135379
1,18,0.8947,0.240614,0.375547,0.241663,0.374009,1.199946e+02,6.204985e-06,0.154802
1,19,0.9474,0.260907,0.385632,0.261501,0.383646,7.310961e+01,0.000000e+00,0.214832
1,20,1.0000,0.284867,0.391342,0.285478,0.387113,7.252408e+01,1.384506e-06,0.314954
